,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend
Apr-1982,1250.2,916.2,486.3,279.4,298.3,79.9,,57.1,3396.4,1310.8,932.0,508.6,284.3,313.0,81.6,,57.8,3518.7,1310.2,933.2,511.7,284.0,315.3,81.3,,57.2,3523.4
May-1982,1300.0,931.2,492.8,288.0,318.5,78.9,,57.3,3497.9,1305.4,938.9,510.1,288.8,315.4,80.5,,57.7,3527.6,1307.4,938.9,513.6,287.6,316.4,81.6,,57.4,3533.6
Jun-1982,1234.2,887.0,494.1,277.2,301.5,77.5,,55.3,3357.8,1309.8,952.8,518.6,288.9,321.2,81.0,,58.3,3561.5,1305.1,946.3,515.7,291.8,317.8,81.9,,57.7,3547.0
Jul-1982,1265.0,921.3,515.6,296.1,316.4,82.7,,56.3,3486.8,1291.9,955.9,518.1,296.2,320.4,83.7,,56.8,3553.9,1302.4,954.3,517.3,296.3,319.1,82.2,,58.2,3560.6
Aug-1982,1217.6,883.2,501.4,288.4,300.5,78.1,,55.4,3355.9,1314.4,950.7,521.4,303.6,318.5,83.3,,58.9,3581.8,1298.1,963.6,518.0,301.1,320.4,82.4,,58.9,3573.6
Sep-1982,1244.9,917.9,517.7,293.0,312.3,79.1,,57.5,3454.3,1292.4,971.8,521.0,303.7,319.6,82.5,,59.0,3581.2,1293.1,974.1,517.9,306.2,321.6,82.4,,60.0,3586.7
Oct-1982,1264.2,983.3,504.2,307.9,318.7,78.7,,61.9,3551.5,1289.4,987.7,510.9,310.8,322.2,81.1,,61.6,3595.6,1293.2,985.5,518.1,311.3,322.6,82.5,,61.2,3605.8
Nov-1982,1372.6,1065.2,536.0,332.1,337.9,86.5,,68.3,3830.5,1300.6,1007.5,520.6,318.0,326.9,82.9,,63.2,3651.7,1303.0,998.2,519.8,316.3,323.4,82.8,,62.3,3637.7
Dec-1982,1888.3,1427.3,715.9,440.9,457.4,118.6,,92.2,5179.7,1293.2,1008.1,519.9,322.3,326.4,83.3,,65.3,3650.4,1322.5,1010.3,523.5,321.2,324.4,83.5,,63.3,3681.0
Jan-1983,1214.5,920.3,502.4,295.9,295.4,75.2,,53.0,3384.5,1332.7,1010.8,527.3,326.7,321.0,84.1,,61.0,3695.6,1348.8,1019.2,528.9,325.9,325.5,84.5,,64.0,3729.5
Feb-1983,1240.6,921.7,470.0,284.1,292.6,76.5,,55.1,3369.8,1419.3,1024.8,539.7,325.2,328.1,85.2,,65.2,3821.0,1375.6,1023.1,534.6,330.3,326.8,85.6,,64.5,3773.4
Mar-1983,1375.7,1049.2,535.7,340.5,319.6,89.1,,63.1,3805.3,1394.4,1037.3,540.0,337.5,326.5,88.6,,65.0,3822.8,1396.6,1023.2,539.8,334.8,328.6,86.4,,65.0,3807.6
Apr-1983,1344.2,994.9,509.0,326.0,313.0,83.5,,63.3,3665.1,1431.9,1042.0,548.5,343.3,333.0,87.8,,65.5,3885.2,1407.9,1022.7,543.9,340.1,331.1,87.0,,65.2,3831.1
May-1983,1379.9,990.4,527.5,341.1,336.8,85.1,,65.6,3760.0,1396.1,993.6,542.9,340.4,335.5,86.0,,65.9,3793.2,1411.1,1024.2,546.8,345.8,334.5,87.5,,65.3,3848.5
Jun-1983,1325.8,950.0,524.2,335.0,316.9,83.0,,62.3,3630.8,1406.0,1016.2,547.3,348.0,335.9,87.3,,65.2,3839.4,1410.6,1029.4,549.3,350.8,338.3,88.1,,65.2,3865.1
Jul-1983,1328.1,971.0,534.8,342.3,326.5,83.9,,64.5,3686.5,1398.1,1038.4,551.9,354.5,339.6,88.3,,66.4,3871.1,1412.2,1037.8,551.8,354.0,341.7,88.9,,65.5,3885.6
Aug-1983,1366.3,1015.5,551.0,356.4,340.9,88.1,,62.5,3816.3,1414.6,1067.5,558.4,366.4,349.0,90.9,,64.4,3945.5,1418.1,1049.5,555.1,354.9,344.5,89.9,,66.5,3912.6
Sep-1983,1370.8,1019.2,553.9,349.7,342.3,88.0,,64.1,3823.4,1433.7,1065.1,555.1,357.7,349.2,91.1,,65.1,3951.4,1426.8,1062.7,558.9,354.1,346.9,91.1,,68.1,3942.9
Oct-1983,1412.3,1053.0,545.1,332.8,340.5,88.7,,71.4,3878.7,1447.4,1075.7,560.6,341.9,348.1,92.7,,71.5,3972.3,1435.5,1075.0,562.3,352.4,349.4,92.3,,69.9,3971.4
Nov-1983,1541.6,1136.8,593.3,363.9,365.3,97.7,,78.0,4211.5,1442.0,1073.0,570.3,346.7,350.6,93.1,,72.8,3983.3,1443.7,1085.3,564.9,350.7,352.3,93.2,,71.5,3996.3
Dec-1983,2119.6,1543.3,772.2,480.0,485.3,133.5,,107.7,5684.3,1453.6,1090.6,566.3,351.4,349.7,93.5,,77.7,4017.6,1450.9,1094.2,566.8,349.7,355.8,94.0,,72.5,4018.8
Jan-1984,1299.1,1020.7,548.9,320.5,333.7,85.8,,59.4,3698.5,1434.0,1119.0,572.7,351.7,363.9,95.1,,67.9,4039.3,1457.0,1102.9,568.4,349.7,359.6,94.7,,72.9,4040.1
Feb-1984,1348.1,1024.5,513.7,320.2,341.7,89.1,,63.7,3733.2,1471.8,1101.4,564.9,354.0,365.8,95.7,,72.2,4061.2,1462.3,1110.9,570.4,350.6,363.6,95.5,,72.7,4061.2
Mar-1984,1433.6,1117.4,555.7,346.8,358.4,94.4,,70.5,4010.9,1482.3,1120.0,571.8,350.9,369.2,96.4,,73.1,4098.9,1467.8,1117.2,574.1,351.7,367.2,96.5,,72.3,4082.3
Apr-1984,1352.8,1049.3,532.2,325.6,337.7,89.0,,69.1,3788.4,1473.1,1123.9,580.1,348.7,367.2,96.2,,72.5,4097.7,1473.4,1120.3,580.1,352.3,370.2,97.5,,72.1,4101.7
May-1984,1519.4,1156.7,593.6,367.9,390.5,102.3,,73.9,4242.3,1476.4,1119.4,590.0,353.6,376.2,98.6,,72.1,4122.3,1479.0,1120.5,588.4,352.9,372.7,98.5,,72.2,4120.1
Jun-1984,1376.9,1047.0,560.7,339.7,346.6,96.2,,69.2,3872.1,1463.3,1113.8,588.0,352.4,367.1,100.4,,72.5,4093.2,1485.1,1118.7,597.9,354.3,375.3,99.3,,72.5,4139.1
Jul-1984,1421.9,1048.3,592.4,346.9,364.5,95.7,,70.5,3978.0,1511.4,1132.8,618.8,363.9,386.5,101.4,,72.2,4223.6,1492.5,1116.8,607.1,356.3,378.7,100.0,,72.8,4160.4
Aug-1984,1462.9,1077.2,620.3,351.0,377.0,97.8,,71.7,4096.1,1500.0,1105.0,616.6,354.4,379.8,100.0,,73.1,4165.1,1502.0,1115.7,615.3,358.7,383.0,100.8,,73.0,4184.7
Sep-1984,1397.5,1017.4,591.7,334.2,363.2,91.9,,69.5,3901.4,1512.3,1111.0,618.7,356.5,384.8,99.6,,73.6,4192.8,1513.3,1116.9,621.3,361.5,387.6,101.6,,73.4,4212.2
Oct-1984,1536.0,1126.6,627.8,369.2,396.7,103.2,,76.2,4274.0,1522.8,1119.3,625.5,368.6,393.7,103.5,,74.4,4244.7,1524.2,1121.9,625.3,364.7,392.0,102.7,,73.9,4241.5
Nov-1984,1640.7,1219.2,658.8,394.2,416.8,109.2,,80.7,4557.1,1537.9,1136.9,627.9,371.2,397.4,103.8,,74.8,4287.0,1533.9,1129.9,627.8,368.2,395.7,104.0,,74.4,4270.9
Dec-1984,2174.7,1532.3,833.8,480.3,540.2,142.9,,99.4,5847.5,1544.7,1136.9,635.4,367.6,400.9,105.5,,73.2,4301.7,1544.4,1140.3,630.1,371.9,398.8,105.3,,74.9,4303.0
Jan-1985,1471.3,1087.6,627.2,357.9,381.1,101.9,,68.8,4130.0,1562.3,1147.9,630.7,376.7,400.7,108.0,,76.9,4341.1,1556.8,1152.5,633.6,375.7,401.2,106.5,,75.7,4339.8
Feb-1985,1366.3,1055.7,548.7,332.9,358.2,96.2,,65.6,3856.8,1566.1,1179.7,628.0,381.6,401.6,106.9,,77.3,4379.3,1573.9,1165.1,638.7,379.5,403.5,107.6,,76.8,4383.3
Mar-1985,1488.3,1130.5,616.0,366.1,386.7,102.1,,71.2,4196.9,1581.4,1166.1,649.1,381.8,406.5,107.6,,75.7,4406.6,1595.4,1176.9,644.5,382.8,406.2,108.4,,78.3,4431.0
Apr-1985,1521.9,1131.4,606.4,366.7,383.4,104.6,,78.6,4228.9,1621.2,1184.5,651.2,383.1,408.2,108.8,,81.0,4476.7,1619.7,1187.9,650.6,386.0,410.4,109.1,,79.9,4482.6
May-1985,1716.5,1259.2,675.3,408.4,438.3,114.7,,85.1,4739.1,1657.9,1211.7,665.9,392.2,416.6,111.0,,82.3,4576.7,1644.2,1198.7,656.8,389.0,416.0,109.7,,81.7,4535.2
Jun-1985,1507.1,1102.2,613.8,368.5,381.6,102.3,,76.2,4190.3,1659.3,1209.7,660.4,395.0,417.7,110.9,,82.6,4575.1,1667.0,1209.9,662.8,391.6,421.9,110.2,,83.1,4586.1
Jul-1985,1679.4,1151.6,649.7,380.9,417.9,107.0,,85.5,4514.6,1717.8,1212.0,663.1,390.3,430.7,110.2,,85.0,4649.3,1688.3,1221.9,669.0,394.6,427.1,110.8,,84.0,4635.5
Aug-1985,1637.4,1203.0,672.4,391.8,429.1,107.8,,82.7,4566.3,1684.5,1230.1,674.5,395.3,436.3,109.9,,84.5,4655.3,1709.4,1234.5,675.7,398.1,430.8,111.5,,84.4,4684.6
Sep-1985,1577.6,1139.5,652.5,376.5,409.3,102.9,,81.9,4380.3,1711.7,1250.8,683.0,403.4,434.6,112.6,,85.4,4721.8,1730.4,1247.4,683.8,402.1,433.4,112.2,,84.4,4734.3
Oct-1985,1764.1,1293.8,709.8,411.4,437.4,113.6,,84.8,4857.7,1750.1,1267.5,696.8,404.6,432.2,112.8,,83.3,4788.2,1748.4,1258.7,693.3,405.5,435.7,112.9,,84.5,4779.9
Nov-1985,1900.0,1344.1,726.7,429.9,454.1,120.0,,88.8,5105.0,1775.4,1269.4,702.6,409.5,434.7,114.4,,84.0,4831.2,1759.3,1267.6,702.3,407.6,438.4,113.4,,84.8,4814.7
Dec-1985,2509.5,1730.4,933.2,549.2,585.6,157.6,,113.5,6628.2,1794.0,1277.4,709.0,418.0,438.7,115.1,,83.2,4877.1,1762.6,1275.5,710.4,408.8,441.7,113.6,,85.2,4839.5
Jan-1986,1684.3,1223.7,722.2,385.0,434.1,105.6,,81.6,4674.9,1770.1,1278.6,717.8,401.8,448.3,111.9,,90.3,4860.9,1761.7,1284.4,717.7,409.8,445.7,113.3,,85.8,4860.4
Feb-1986,1516.2,1161.9,639.3,360.2,405.5,102.1,,71.9,4294.1,1735.4,1303.3,731.5,413.7,455.7,113.5,,84.4,4879.8,1761.7,1296.7,724.2,411.2,449.6,112.8,,86.2,4884.9
Mar-1986,1611.5,1213.7,672.1,377.7,425.8,105.3,,82.6,4528.0,1729.3,1283.5,719.0,399.9,452.0,112.3,,87.9,4826.5,1767.8,1313.8,729.4,413.4,452.7,112.5,,86.7,4919.1
Apr-1986,1681.0,1298.2,684.1,405.7,431.1,107.2,,81.9,4729.0,1776.5,1340.5,730.4,420.1,453.9,111.4,,85.1,4960.5,1784.5,1334.7,733.3,416.0,455.2,112.7,,87.6,4967.1
May-1986,1898.1,1429.5,753.3,448.7,473.9,118.5,,92.8,5261.9,1848.3,1382.2,750.5,432.2,455.6,114.5,,90.4,5118.0,1809.3,1356.6,736.1,418.7,457.8,113.6,,88.7,5024.2
Jun-1986,1664.2,1240.8,693.7,388.1,423.0,104.1,,81.1,4637.8,1831.9,1363.3,741.7,418.5,461.7,113.4,,86.5,5060.9,1835.6,1376.0,738.0,420.5,461.1,114.9,,90.2,5080.1
Jul-1986,1814.5,1344.3,717.8,410.1,447.9,113.9,,94.3,4989.5,1852.9,1390.6,724.7,413.2,460.9,116.2,,93.4,5095.5,1857.0,1390.5,739.8,421.0,465.4,116.3,,91.6,5125.6
Aug-1986,1766.5,1332.2,720.3,402.5,453.6,112.7,,90.8,4923.8,1884.6,1411.8,743.6,420.7,475.2,119.3,,95.6,5195.0,1870.1,1399.6,742.5,420.3,470.1,117.4,,92.5,5156.7
Sep-1986,1790.7,1320.8,733.3,408.8,457.5,114.1,,91.7,4962.2,1875.8,1401.9,752.7,425.1,476.1,119.3,,92.9,5188.3,1876.3,1404.7,747.2,419.6,475.0,118.1,,92.6,5177.8
Oct-1986,1901.8,1448.8,776.3,426.4,492.9,118.2,,93.6,5305.1,1868.7,1406.7,750.7,417.9,479.7,117.6,,91.4,5177.3,1879.3,1408.8,754.1,419.6,479.7,118.3,,92.3,5196.8
Nov-1986,1943.2,1435.8,757.7,424.9,487.5,119.0,,92.2,5303.5,1880.6,1408.0,756.6,418.3,482.2,117.9,,91.1,5199.0,1882.1,1414.8,763.2,420.9,484.1,118.2,,92.1,5220.3
Dec-1986,2732.9,1974.3,1044.4,568.6,671.3,166.9,,126.8,7340.0,1893.7,1419.4,775.5,421.7,486.6,119.1,,91.4,5252.8,1884.9,1422.1,772.7,423.0,488.4,118.5,,92.4,5247.4
Jan-1987,1790.4,1368.4,782.2,409.9,477.0,111.9,,83.7,5065.3,1884.5,1431.6,783.5,426.4,494.9,117.9,,92.3,5277.0,1888.7,1430.0,779.4,425.4,493.2,119.5,,93.3,5275.2
Feb-1987,1659.8,1278.1,688.4,373.8,448.5,108.9,,82.2,4679.8,1897.6,1440.6,786.9,430.1,505.1,120.7,,96.0,5323.2,1895.7,1438.6,782.7,428.4,498.7,121.4,,94.8,5306.3
Mar-1987,1762.6,1381.0,733.3,406.5,460.2,114.6,,92.1,4993.0,1902.9,1462.3,788.2,431.6,493.3,122.2,,97.5,5344.0,1907.1,1447.6,783.4,432.0,504.9,123.8,,96.3,5341.5
Apr-1987,1825.4,1407.4,746.4,427.3,496.3,124.9,,94.3,5166.0,1913.7,1444.8,785.9,436.5,512.8,129.0,,97.0,5366.6,1922.7,1457.7,782.9,435.8,511.0,126.2,,97.4,5380.2
May-1987,1926.6,1462.6,758.6,437.6,526.6,128.1,,97.7,5386.3,1937.6,1463.6,776.9,438.5,522.1,128.3,,98.5,5413.0,1941.4,1469.4,783.3,439.7,517.1,128.0,,97.9,5423.8
Jun-1987,1839.2,1373.8,732.6,418.0,489.5,124.4,,94.3,5118.9,1971.7,1470.5,765.7,439.9,522.2,130.4,,98.0,5445.4,1961.6,1481.6,787.2,443.8,522.4,129.0,,98.0,5470.8
Jul-1987,1953.9,1479.1,815.6,448.9,519.8,126.0,,100.1,5494.6,1978.7,1509.1,812.5,450.0,528.5,129.1,,98.4,5553.8,1979.3,1494.5,795.8,447.7,527.5,129.3,,98.2,5519.7
Aug-1987,1870.7,1408.5,771.1,428.9,497.1,119.6,,92.3,5236.7,2008.3,1510.8,807.4,453.4,528.3,128.5,,97.3,5581.7,1992.4,1505.4,808.1,450.7,532.6,129.4,,98.7,5564.9
Sep-1987,1923.2,1441.9,802.2,438.9,518.6,123.9,,97.2,5395.1,1997.9,1514.9,817.9,453.1,535.8,128.6,,99.1,5595.2,2002.5,1511.6,821.8,452.0,536.7,129.8,,99.5,5601.9
Oct-1987,2034.3,1548.6,861.7,460.0,555.3,131.2,,102.2,5744.4,2006.4,1510.1,836.5,451.6,542.7,130.2,,100.4,5626.2,2012.6,1512.3,834.8,451.8,538.9,130.7,,100.5,5630.0
Nov-1987,2092.9,1521.4,853.5,456.2,538.5,131.4,,104.2,5745.0,2027.7,1504.4,853.2,451.7,533.4,131.4,,102.5,5652.9,2024.9,1509.8,845.7,450.7,539.5,132.1,,101.5,5652.9
Dec-1987,2888.1,2172.0,1167.2,619.7,779.1,192.3,,143.6,8022.4,2010.1,1540.2,858.2,451.1,562.3,136.1,,103.6,5711.1,2040.5,1508.6,854.8,449.5,539.3,133.6,,102.3,5677.6
Jan-1988,1924.0,1373.4,839.5,412.6,498.3,123.9,,89.5,5304.4,2073.1,1469.1,863.2,441.2,528.9,133.7,,101.1,5659.4,2057.9,1513.2,863.8,449.4,539.8,134.8,,102.9,5711.3
Feb-1988,1899.4,1390.6,785.8,406.3,479.6,127.1,,93.3,5226.8,2090.2,1523.9,868.2,453.7,523.2,137.0,,104.5,5750.7,2073.5,1524.4,876.2,451.0,541.7,135.6,,103.4,5755.8
Mar-1988,2039.8,1536.1,874.6,460.0,533.1,136.0,,101.2,5729.7,2085.7,1537.9,894.1,456.7,543.4,135.3,,102.9,5806.5,2083.7,1539.7,893.8,454.4,545.0,136.0,,103.7,5806.8
Apr-1988,1948.0,1494.6,838.9,430.8,538.3,129.3,47.0,100.3,5527.3,2081.0,1569.0,906.0,454.3,561.3,136.0,50.8,104.4,5862.7,2086.9,1556.0,917.5,458.9,548.2,136.2,50.9,104.2,5858.9
May-1988,2051.2,1542.8,900.7,455.6,548.4,134.0,52.0,103.2,5787.8,2101.4,1580.3,938.1,465.1,559.4,136.4,51.4,104.3,5936.4,2085.3,1570.8,945.7,464.0,550.1,136.5,51.3,104.8,5908.5
Jun-1988,1980.9,1529.9,954.6,456.0,529.5,132.5,53.0,102.8,5739.2,2081.6,1600.5,975.8,471.3,551.5,137.5,51.9,106.6,5976.7,2084.2,1583.8,972.4,468.7,550.1,137.1,51.7,105.2,5953.1
Jul-1988,1985.4,1489.9,985.0,458.3,517.4,129.1,54.5,103.1,5722.7,2078.1,1564.5,1014.6,475.7,542.4,136.4,52.2,104.7,5968.7,2089.3,1595.3,991.2,472.5,548.8,137.9,52.2,105.6,5992.9
Aug-1988,1997.5,1531.7,982.9,459.4,522.5,134.5,54.3,104.5,5787.3,2093.1,1603.7,1008.3,474.1,545.8,139.8,52.1,107.3,6024.2,2108.0,1606.9,1000.3,476.3,548.2,139.0,52.7,106.2,6037.7
Sep-1988,2078.8,1562.2,1003.5,469.2,535.0,136.1,56.0,105.6,5946.3,2131.9,1621.0,1002.4,478.1,545.5,140.0,53.6,106.2,6078.6,2139.5,1620.2,1001.7,480.6,552.1,140.3,53.5,107.2,6095.0
Oct-1988,2131.5,1613.6,998.9,473.1,552.7,135.7,54.9,105.4,6065.8,2172.3,1639.7,1006.7,485.6,559.9,141.8,54.3,106.7,6166.9,2178.6,1633.6,999.3,485.1,561.4,141.6,54.4,108.5,6162.4
Nov-1988,2352.8,1724.3,978.1,502.2,597.6,149.6,54.7,111.7,6470.9,2226.6,1663.4,957.4,481.7,575.9,143.3,55.4,108.0,6211.8,2219.5,1645.7,998.2,489.3,574.0,142.9,55.2,109.7,6234.6
Dec-1988,3252.4,2339.7,1365.4,690.3,810.5,200.1,67.5,159.9,8885.8,2268.5,1644.0,1001.9,502.0,577.8,142.7,55.4,115.5,6307.8,2254.8,1655.2,1002.2,492.6,586.3,143.8,56.0,110.6,6301.5
Jan-1989,2140.0,1532.0,993.5,463.4,567.4,134.1,50.9,99.1,5980.3,2330.4,1662.4,1035.2,500.2,616.0,145.9,58.0,111.2,6459.3,2281.0,1662.0,1011.9,494.3,595.6,144.4,56.6,110.6,6356.4
Feb-1989,1984.8,1461.4,895.6,426.4,530.1,131.7,49.1,95.0,5574.1,2253.4,1658.6,1022.6,490.9,601.6,145.5,56.7,109.8,6339.1,2299.9,1668.4,1025.5,494.4,600.9,144.6,56.9,109.9,6400.6
Mar-1989,2247.5,1660.7,1006.2,485.3,595.2,143.8,54.8,105.5,6299.0,2305.4,1683.5,1029.2,489.9,604.1,144.2,57.0,107.5,6420.8,2314.9,1676.5,1039.2,493.7,603.0,144.7,57.2,108.9,6438.0
Apr-1989,2181.4,1601.1,971.6,469.3,562.6,135.3,52.2,102.2,6075.7,2344.9,1685.3,1061.9,495.0,597.2,144.3,57.0,108.1,6493.7,2329.7,1686.2,1051.8,493.5,603.9,144.9,57.4,108.1,6475.5
May-1989,2314.2,1691.4,1035.7,491.6,595.7,143.6,58.5,107.2,6437.8,2325.2,1694.5,1058.8,491.0,596.9,144.0,57.6,106.6,6474.6,2346.7,1696.8,1063.2,494.4,605.6,145.4,57.9,107.9,6517.9
Jun-1989,2289.2,1641.8,1064.3,480.8,593.2,142.9,59.9,105.2,6377.4,2392.0,1706.7,1075.4,497.1,613.4,146.6,58.3,107.4,6596.8,2365.7,1706.1,1073.7,496.9,609.5,146.3,58.3,108.5,6565.1
Jul-1989,2254.4,1625.9,1039.7,478.8,581.6,137.2,61.2,108.6,6287.5,2383.2,1725.6,1086.0,502.2,616.8,148.0,58.8,111.6,6632.3,2386.2,1714.4,1084.3,500.6,615.5,147.5,58.8,109.7,6617.0
Aug-1989,2299.0,1654.8,1066.9,496.9,598.7,145.9,64.8,109.5,6436.4,2388.9,1712.6,1081.5,505.7,621.1,148.8,60.4,111.8,6631.0,2406.3,1724.0,1093.3,504.7,622.4,148.8,59.2,110.8,6669.4
Sep-1989,2363.4,1670.8,1105.1,493.1,618.2,145.3,60.5,109.0,6565.5,2431.4,1742.3,1119.5,508.0,632.4,150.9,59.2,111.1,6754.9,2423.6,1736.4,1100.2,508.6,627.7,149.7,59.4,112.1,6717.7
Oct-1989,2380.7,1701.4,1096.8,495.5,614.5,144.1,60.1,112.4,6605.4,2432.5,1736.5,1104.9,509.6,626.3,149.6,59.3,113.1,6731.8,2439.1,1750.5,1106.7,512.2,630.6,150.3,59.6,113.2,6762.3
Nov-1989,2622.7,1826.1,1142.8,550.9,674.9,158.4,60.0,118.5,7154.3,2459.6,1747.1,1102.6,519.8,641.1,151.6,59.5,114.1,6795.4,2451.1,1763.8,1113.5,515.4,631.7,151.0,59.9,114.3,6800.7
Dec-1989,3428.9,2496.8,1490.8,689.6,858.1,205.6,71.0,153.5,9394.4,2486.3,1804.5,1124.5,516.5,628.4,151.8,60.4,114.7,6887.2,2459.4,1773.1,1121.0,518.2,632.0,151.9,60.4,115.2,6831.1
Jan-1990,2305.3,1700.6,1102.4,499.4,599.2,142.7,54.1,107.8,6511.6,2442.7,1787.2,1125.8,523.0,632.9,151.2,61.1,118.0,6841.9,2465.8,1776.6,1130.4,521.0,632.8,153.3,61.2,116.1,6857.3
Feb-1990,2168.4,1564.1,1000.4,452.5,550.2,140.2,53.2,102.0,6031.0,2455.8,1777.3,1141.4,521.3,625.5,154.6,61.8,117.6,6855.3,2471.0,1774.1,1141.5,524.2,635.2,155.0,62.1,117.4,6880.4
Mar-1990,2422.6,1720.2,1124.4,519.5,630.2,157.8,60.3,114.4,6749.3,2489.7,1746.3,1161.3,525.6,642.5,159.1,62.9,116.4,6903.8,2478.0,1767.7,1153.7,527.7,639.7,156.8,62.9,118.8,6905.2
Apr-1990,2320.8,1658.3,1063.3,502.6,609.9,148.7,59.0,113.5,6476.1,2484.6,1762.1,1154.1,533.4,649.0,158.3,64.6,119.4,6925.6,2487.4,1761.1,1165.3,531.4,645.6,158.5,63.5,120.3,6933.1
May-1990,2494.2,1754.0,1164.5,540.6,644.6,162.1,65.1,122.8,6947.9,2496.0,1747.2,1180.3,533.8,643.5,160.4,63.9,121.8,6946.9,2497.5,1755.6,1174.3,534.2,651.6,160.0,64.0,121.8,6959.0
Jun-1990,2400.0,1691.7,1161.2,518.2,643.8,155.7,65.1,123.2,6758.9,2512.8,1761.0,1189.6,540.0,666.6,161.4,64.2,126.9,7022.6,2506.8,1751.3,1180.1,536.3,655.8,161.5,64.4,123.0,6979.2
Jul-1990,2352.1,1638.6,1119.0,509.4,618.0,150.0,67.4,119.0,6573.5,2507.1,1749.5,1173.4,539.5,660.3,161.0,64.1,122.8,6977.7,2512.1,1746.5,1182.8,538.1,657.8,163.0,64.9,123.6,6988.8
Aug-1990,2467.1,1715.8,1197.0,535.2,642.9,162.7,69.9,120.5,6911.2,2527.5,1753.3,1195.1,541.7,656.4,164.5,64.9,122.7,7025.9,2513.1,1740.2,1182.5,540.5,658.0,164.2,65.4,123.8,6987.7
Sep-1990,2379.4,1613.6,1129.0,504.2,622.3,155.1,67.2,118.5,6589.3,2506.2,1732.2,1175.7,533.9,655.9,166.2,66.8,124.5,6961.5,2512.1,1734.9,1182.4,544.0,657.8,165.2,65.8,123.6,6986.0
Oct-1990,2520.7,1723.7,1198.9,542.6,658.9,164.9,68.7,124.4,7002.9,2511.3,1710.8,1181.4,542.6,653.6,168.0,66.6,122.5,6956.9,2510.7,1733.7,1184.7,549.1,658.1,166.0,66.0,123.5,6991.9
Nov-1990,2677.5,1813.5,1239.3,602.0,695.3,176.0,67.4,131.2,7402.3,2513.9,1731.4,1182.8,568.4,656.8,166.5,66.5,125.1,7011.2,2511.2,1737.2,1190.4,554.8,659.2,166.6,66.2,124.2,7009.8
Dec-1990,3390.7,2372.9,1557.1,738.8,897.6,216.6,76.8,163.9,9414.4,2498.2,1744.7,1192.8,559.1,668.4,164.2,65.9,123.8,7017.2,2516.9,1743.2,1198.6,560.0,661.0,167.1,66.4,125.6,7038.9
Jan-1991,2420.6,1700.4,1196.6,545.8,635.3,162.4,58.9,117.3,6837.2,2535.1,1761.8,1208.2,561.2,660.9,167.0,65.2,126.6,7086.0,2525.6,1747.3,1206.0,563.1,662.5,167.3,66.6,127.5,7065.9
Feb-1991,2240.5,1555.3,1086.2,492.7,587.1,152.4,57.0,113.4,6284.6,2534.5,1769.9,1238.3,566.5,667.2,168.1,66.6,130.5,7141.7,2536.4,1747.7,1210.5,563.5,663.2,167.4,67.1,129.4,7085.3
Mar-1991,2456.5,1681.0,1149.6,549.1,638.0,169.6,65.4,128.7,6837.9,2558.5,1740.1,1204.0,565.6,662.4,172.9,70.1,132.8,7106.4,2552.0,1746.0,1212.4,562.5,664.7,167.9,67.7,131.3,7104.5
Apr-1991,2424.2,1649.9,1121.7,531.1,633.1,157.0,63.0,129.5,6709.5,2583.4,1732.1,1212.4,557.3,669.5,165.8,67.8,134.1,7122.2,2572.1,1744.6,1212.7,561.4,667.8,169.0,68.4,132.9,7128.8
